time(s),speed(km/h)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,4.828032
22,9.4951296
23,13.8403584
24,18.507456
25,23.0136192
26,27.1979136
27,27.8416512
28,29.1291264
29,33.3134208
30,34.9227648
31,36.0493056
32,36.21024
33,35.5665024
34,34.600896
35,33.6352896
36,32.8306176
37,31.8650112
38,27.358848
39,23.9792256
40,23.9792256
41,24.4620288
42,24.944832
43,25.749504
44,27.5197824
45,30.7384704
46,33.9571584
47,36.5321088
48,36.8539776
49,36.5321088
50,36.3711744
51,34.2790272
52,30.577536
53,27.5197824
54,25.4276352
55,25.4276352
56,28.4853888
57,31.8650112
58,34.7618304
59,37.3367808
60,38.9461248
61,39.5898624
62,40.0726656
63,40.2336
64,39.5898624
65,39.428928
66,39.7507968
67,39.9117312
68,39.7507968
69,39.5898624
70,39.5898624
71,40.3945344
72,41.1992064
73,41.3601408
74,40.8773376
75,40.0726656
76,40.2336
77,40.8773376
78,41.842944
79,41.842944
80,41.3601408
81,42.0038784
82,42.9694848
83,44.25696
84,46.0272384
85,47.1537792
86,47.9584512
87,48.4412544
88,48.9240576
89,49.4068608
90,49.4068608
91,49.084992
92,48.9240576
93,48.7631232
94,48.9240576
95,49.5677952
96,48.9240576
97,48.1193856
98,47.475648
99,47.9584512
100,48.7631232
101,49.4068608
102,49.7287296
103,49.889664
104,49.7287296
105,48.9240576
106,47.9584512
107,48.1193856
108,48.6021888
109,49.4068608
110,50.2115328
111,51.1771392
112,51.8208768
113,52.1427456
114,51.8208768
115,51.0162048
116,46.0272384
117,40.7164032
118,35.405568
119,30.0947328
120,24.7838976
121,19.4730624
122,14.1622272
123,8.851392
124,3.5405568
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,5.3108352
165,10.6216704
166,15.9325056
167,21.2433408
168,26.554176
169,31.8650112
170,35.7274368
171,39.1070592
172,41.5210752
173,42.4866816
174,41.3601408
175,40.3945344
176,39.7507968
177,40.2336
178,40.5554688
179,40.8773376
180,41.5210752
181,43.7741568
182,42.647616
183,38.624256
184,36.5321088
185,31.2212736
186,28.4853888
187,27.6807168
188,29.1291264
189,29.9337984
190,32.18688
191,35.7274368
192,39.428928
193,43.9350912
194,49.084992
195,53.913024
196,58.2582528
197,60.0285312
198,63.2472192
199,65.178432
200,67.7533824
201,70.006464
202,72.5814144
203,74.029824
204,75.3172992
205,76.44384
206,76.44384
207,76.1219712
208,75.9610368
209,75.639168
210,75.639168
211,75.639168
212,75.639168
213,75.639168
214,75.9610368
215,76.2829056
216,77.0875776
217,78.053184
218,79.0187904
219,79.662528
220,80.4672
221,81.4328064
222,82.076544
223,82.881216
224,84.0077568
225,85.6171008
226,87.0655104
227,87.8701824
228,88.3529856
229,88.51392
230,88.3529856
231,87.8701824
232,87.8701824
233,88.1920512
234,88.6748544
235,89.318592
236,89.6404608
237,90.2841984
238,90.6060672
239,91.0888704
240,91.2498048
241,91.2498048
242,90.927936
243,90.927936
244,90.927936
245,90.927936
246,90.927936
247,90.927936
248,90.7670016
249,90.2841984
250,89.8013952
251,88.6748544
252,87.8701824
253,87.2264448
254,86.904576
255,86.4217728
256,86.2608384
257,86.7436416
258,86.904576
259,87.0655104
260,87.0655104
261,86.5827072
262,85.9389696
263,85.295232
264,84.6514944
265,83.8468224
266,84.3296256
267,83.685888
268,83.5249536
269,83.2030848
270,82.881216
271,83.0421504
272,83.3640192
273,83.8468224
274,84.49056
275,85.295232
276,86.099904
277,86.904576
278,88.3529856
279,89.1576576
280,89.4795264
281,90.123264
282,90.123264
283,89.8013952
284,88.8357888
285,87.709248
286,86.2608384
287,84.49056
288,82.881216
289,82.881216
290,82.881216
291,82.2374784
292,80.6281344
293,80.4672
294,80.6281344
295,80.4672
296,79.8234624
297,79.662528
298,79.662528
299,79.662528
300,79.0187904
301,78.2141184
302,77.4094464
303,75.9610368
