Time(s),Speed(km/h)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,1.0024
16,3.8355
17,7.9007
18,12.8364
19,17.5137
20,20.4831
21,22.353
22,24.5228
23,27.4339
24,28.5175
25,29.0083
26,28.4924
27,28.7538
28,30.2541
29,31.903
30,33.3713
31,33.1937
32,33.5051
33,36.064
34,39.3341
35,40.5716
36,40.5815
37,39.8692
38,36.9068
39,34.8549
40,30.695
41,25.0774
42,19.0834
43,10.0025
44,3.2199
45,1.2455
46,0.9119
47,0.5895
48,0.2965
49,0.0753
50,0.0
51,0.0
52,1.5747
53,5.8976
54,12.3746
55,18.6691
56,21.6589
57,25.6041
58,30.0319
59,35.3083
60,42.2194
61,44.1521
62,45.6374
63,46.8296
64,47.6676
65,47.8272
66,47.1915
67,48.6138
68,50.3538
69,52.1458
70,53.8781
71,55.5081
72,56.5935
73,55.7397
74,54.9755
75,54.1415
76,53.2244
77,51.2577
78,47.8181
79,41.9151
80,35.2198
81,31.1453
82,30.5566
83,32.9285
84,35.6001
85,38.7298
86,41.9656
87,46.3798
88,49.4963
89,50.5442
90,50.8444
91,50.1348
92,47.3348
93,46.6315
94,45.871
95,45.1984
96,45.8205
97,46.5312
98,45.7909
99,45.1128
100,44.4044
101,45.51600000000001
102,47.2788
103,49.8727
104,52.33
105,53.9477
106,53.2193
107,52.1332
108,49.3042
109,45.1366
110,42.065
111,38.8085
112,36.6109
113,36.3031
114,38.3443
115,37.9186
116,39.3883
117,40.844
118,40.9862
119,41.8746
120,44.0585
121,47.5897
122,51.0303
123,55.6776
124,60.1019
125,63.7825
126,67.2626
127,70.0923
128,73.3172
129,77.0874
130,78.8458
131,80.1451
132,80.984
133,80.0929
134,78.7145
135,77.5272
136,76.4078
137,77.2898
138,78.1696
139,79.1505
140,80.6416
141,81.7743
142,83.2969
143,84.6222
144,84.0907
145,82.0112
146,79.812
147,78.4724
148,77.7432
149,78.9498
150,81.2238
151,83.0643
152,85.4221
153,88.0244
154,89.7019
155,91.6434
156,94.0202
157,95.78
158,97.6588
159,99.6057
160,101.2983
161,102.7704
162,102.8224
163,101.318
164,98.0564
165,94.3956
166,92.7805
167,91.4807
168,92.2809
169,93.1454
170,94.7558
171,96.3045
172,97.407
173,98.2776
174,99.396
175,100.5772
176,101.3562
177,101.9885
178,102.4824
179,103.046
180,103.6472
181,104.3437
182,104.8696
183,105.0917
184,105.2658
185,105.4498
186,105.7879
187,106.3489
188,107.0047
189,107.7568
190,108.4958
191,109.4206
192,110.1155
193,110.5827
194,110.7179
195,110.7456
196,110.6667
197,110.6794
198,110.8308
199,110.9937
200,111.1816
201,111.3726
202,111.5767
203,111.763
204,111.9325
205,112.1591
206,112.5191
207,112.8852
208,113.4234
209,113.9079
210,114.2992
211,114.7845
212,114.857
213,114.8656
214,114.7947
215,114.5952
