Time(s),Speed(km/h)
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,3.4317
19,9.3987
20,17.1046
21,21.0262
22,22.1741
23,25.0895
24,27.8401
25,30.4502
26,33.519
27,36.3247
28,38.4889
29,40.5055
30,41.053
31,43.286
32,45.1941
33,46.377
34,47.3546
35,47.9115
36,48.0106
37,48.7367
38,48.4985
39,47.0672
40,43.3764
41,38.437
42,33.4371
43,28.2009
44,23.3992
45,21.0963
46,19.4722
47,18.9971
48,19.9494
49,21.3986
50,23.4486
51,25.9974
52,29.8594
53,33.9051
54,35.6497
55,39.8768
56,40.8941
57,41.1674
58,43.3332
59,45.0361
60,46.6357
61,46.0405
62,46.8179
63,46.1963
64,45.5748
65,44.8646
66,43.1171
67,42.3925
68,41.7528
69,44.7128
70,44.8829
71,45.9781
72,46.0313
73,45.5542
74,45.4049
75,44.6545
76,43.9773
77,42.6925
78,40.2725
79,37.0333
80,32.8218
81,27.4251
82,24.2494
83,23.7489
84,24.8187
85,27.9615
86,30.7013
87,33.0612
88,32.7074
89,33.2548
90,34.9141
91,34.703
92,35.3835
93,34.2924
94,31.5487
95,26.7406
96,23.1466
97,21.8632
98,20.6241
99,18.0899
100,17.0484
101,17.343
102,19.0302
103,18.8136
104,18.3617
105,16.1716
106,12.3266
107,8.8309
108,5.3401
109,1.7633
110,0.1526
111,0.005
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1.221
120,6.7715
121,14.7903
122,20.274
123,20.0484
124,19.6184
125,20.2338
126,22.7636
127,27.1903
128,30.8089
129,37.8203
130,42.7743
131,46.7965
132,47.4346
133,52.7515
134,59.9947
135,62.1005
136,65.7467
137,67.9859
138,68.9995
139,69.5005
140,70.0689
141,70.3706
142,70.2121
143,70.2209
144,69.5739
145,70.2218
146,70.6277
147,70.6003
148,70.0486
149,69.0742
150,68.1252
151,67.4805
152,67.2623
153,66.606
154,65.196
155,61.4178
156,57.1122
157,53.0008
158,51.6586
159,49.9896
160,47.8498
161,43.7805
162,37.0438
163,28.9227
164,16.9477
165,3.1866
166,0
167,0.0714
168,0
169,0
170,0
171,0
172,0
173,0
