Time(s),Speed(km/h)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0353
7,2.0616
8,5.0315
9,9.2595
10,14.0156
11,18.8107
12,20.5335
13,23.5766
14,26.3147
15,30.0301
16,33.3777
17,37.0162
18,39.0946
19,41.1684
20,43.2614
21,45.2625
22,45.0909
23,45.3049
24,46.3649
25,46.1554
26,46.2726
27,47.2543
28,47.9061
29,47.1311
30,44.9596
31,43.4163
32,41.7614
33,40.6029
34,38.6061
35,37.5462
36,35.6633
37,35.0644
38,34.5695
39,36.4407
40,35.8611
41,34.7731
42,32.0197
43,29.452
44,26.3054
45,20.663
46,17.939
47,13.9052
48,9.7998
49,9.3617
50,8.9998
51,9.6081
52,10.4131
53,10.9828
54,11.626
55,9.2526
56,4.5412
57,0.0
58,0.0
59,0.0083
60,0.0028
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0067
69,0.0028
70,0.0025
71,0.0028
72,0.0028
73,0.0028
74,0.0028
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0316
80,1.7295
81,4.4668
82,9.9335
83,15.0084
84,19.6787
85,19.8844
86,23.4595
87,26.505
88,29.6244
89,33.2761
90,37.0301
91,39.3854
92,41.5105
93,43.6205
94,45.5778
95,46.0496
96,45.3661
97,44.6951
98,46.5735
99,46.5686
100,48.3361
101,47.7493
102,47.0486
103,46.0532
104,43.075
105,42.0426
106,40.915
107,39.1867
108,36.5978
109,35.6377
110,34.9641
111,35.1923
112,36.3257
113,35.7156
114,33.8888
115,31.8116
116,29.4263
117,25.4294
118,21.225
119,17.7436
120,12.6351
121,9.3969
122,8.9696
123,9.0267
124,9.6615
125,10.3426
126,11.1086
127,10.7951
128,7.7443
129,3.0383
130,0.0
131,0.015
132,0.0219
133,0.0032
134,0.0006
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0142
140,0.6918
141,2.1789
142,3.6459
143,5.2827
144,6.8275
145,8.4778
146,8.3821
147,5.9888
148,3.741
149,3.3160000000000003
150,2.6312
151,0.5704
152,0.2799
153,1.2341
154,1.9788
155,2.8796
156,5.1053
157,6.0471
158,7.0168
159,8.6697
160,10.3497
161,11.612
162,13.072
163,13.1793
164,11.5042
165,8.6617
166,3.3979
167,0.08900000000000001
168,0.0265
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,1.9138
197,8.7869
198,12.8922
199,14.4754
200,14.3447
201,16.122
202,16.5555
203,16.1362
204,15.7229
205,14.5051
206,13.51
207,13.0691
208,15.3194
209,16.7644
210,16.1737
211,14.8906
212,13.8614
213,13.5255
214,16.2216
215,17.7647
216,21.6559
217,26.7734
218,31.5457
219,33.0249
