Time(s),Speed(km/h)
1,0
2,0
3,0.0028
4,0
5,1.3641
6,5.6337
7,10.4109
8,15.2912
9,20.1302
10,24.4373
11,29.2822
12,33.613
13,37.0183
14,40.3776
15,43.1335
16,45.7246
17,47.0313
18,46.798
19,48.681
20,50.4952
21,52.2892
22,52.7433
23,53.1666
24,53.6341
25,54.2266
26,54.9304
27,55.6228
28,56.3066
29,56.9491
30,57.4287
31,57.3734
32,57.0243
33,56.2495
34,56.5817
35,56.1669
36,56.0677
37,56.5696
38,57.1736
39,57.8434
40,58.4102
41,58.8629
42,58.9589
43,58.512
44,58.3564
45,58.8185
46,59.4678
47,60.1064
48,59.7038
49,59.2308
50,59.3075
51,59.391
52,59.9625
53,61.1955
54,62.3098
55,63.471
56,64.5982
57,65.6519
58,66.6372
59,67.6028
60,68.5464
61,69.6426
62,70.6182
63,71.6348
64,72.1288
65,72.5359
66,72.8125
67,73.0762
68,73.312
69,73.5705
70,73.8269
71,74.0529
72,74.3004
73,74.5421
74,74.7646
75,74.9425
76,75.1199
77,75.294
78,75.4659
79,75.6359
80,75.7329
81,75.7853
82,75.8339
83,75.884
84,75.9322
85,75.9782
86,76.0237
87,76.0663
88,76.1112
89,76.1295
90,76.1214
91,76.107
92,75.9888
93,75.1402
94,74.6024
95,74.4622
96,74.4761
97,74.8671
98,75.2722
99,75.63
100,76.0196
101,76.403
102,76.7426
103,77.0619
104,77.3708
105,77.6742
106,77.9736
107,78.2675
108,78.5877
109,78.8544
110,79.0995
111,79.3216
112,79.5404
113,79.6982
114,79.799
115,79.8405
116,79.8788
117,79.9193
118,79.9603
119,79.999
120,79.6995
121,78.5355
122,77.6672
123,77.5546
124,77.416
125,77.2636
126,77.0724
127,76.9039
128,76.8364
129,77.0349
130,77.2199
131,77.2779
132,77.309
133,77.3411
134,77.3696
135,77.3945
136,77.3881
137,77.3636
138,77.3172
139,76.785
140,75.6035
141,73.3548
142,70.2342
143,66.6935
144,64.657
145,63.7246
146,63.5786
147,63.6271
148,63.7866
149,65.8165
150,66.153
151,67.2611
152,68.544
153,69.4244
154,70.2155
155,70.981
156,71.4979
157,71.7182
158,71.8438
159,72.0142
160,72.2674
161,72.7433
162,73.3992
163,74.1086
