Time(s),Speed(km/h)
1,0
2,4.892
3,8.3084
4,11.9963
5,16.1891
6,18.8957
7,21.0368
8,21.3017
9,22.9024
10,23.8987
11,25.4144
12,26.4444
13,27.4542
14,28.8719
15,32.1561
16,35.2047
17,36.5608
18,36.2389
19,37.5204
20,36.9363
21,36.4928
22,36.0306
23,38.1042
24,36.7058
25,35.0476
26,32.8691
27,32.0354
28,31.3185
29,30.6817
30,29.6626
31,29.1326
32,28.6243
33,29.0956
34,28.7591
35,30.3304
36,30.5285
37,32.358
38,34.3943
39,36.4167
40,37.5489
41,38.7886
42,38.4164
43,37.3786
44,34.8157
45,32.9696
46,32.2691
47,30.4694
48,26.0971
49,23.0431
50,20.9235
51,16.6914
52,15.3894
53,14.4274
54,12.0368
55,10.6017
56,9.3267
57,7.5006
58,5.7488
59,4.5318
60,3.0491
61,1.4345
62,0.1164
63,0
64,0.0026
65,0.0028
66,0.0028
67,0.0014
68,0
69,0.0514
70,4.245
71,6.8292
72,11.2168
73,15.6501
74,19.8446
75,26.0286
76,30.4178
77,31.3871
78,34.7417
79,35.8739
80,35.4986
81,36.7483
82,36.2874
83,37.5449
84,39.4892
85,39.6925
86,41.8884
87,42.9087
88,44.1843
89,45.5941
90,47.15
91,48.6862
92,50.1175
93,51.4932
94,52.8626
95,54.1891
96,55.4672
97,57.0302
98,59.5959
99,60.8093
100,60.2284
101,61.322
102,60.4991
103,61.072
104,60.8902
105,60.0287
106,59.1842
107,58.8665
108,59.3044
109,58.4648
110,57.6445
111,56.1616
112,54.1564
113,52.8062
114,51.8909
115,51.1417
116,52.6426
117,52.2192
118,54.85
119,57.1001
120,58.4837
121,59.9463
122,60.9606
123,61.7234
124,61.2583
125,62.1168
126,61.4144
127,60.6992
128,61.39
129,61.6584
130,60.7994
131,59.9443
132,59.7535
133,59.8303
134,59.2155
135,59.2043
136,58.9343
137,58.2404
138,57.75
139,57.5332
140,56.7211
141,54.7398
142,52.874
143,51.1263
144,48.7215
145,46.7775
146,45.3888
147,42.8177
148,39.7744
149,37.8416
150,35.9164
151,33.9033
152,30.0333
153,28.2133
154,27.2319
155,25.3155
156,22.8612
157,21.8609
158,19.4225
159,16.2371
160,13.7157
161,13.0875
162,12.9469
163,13.7643
164,15.2388
165,15.5683
166,15.5402
167,13.7032
168,12.5421
169,12.1511
170,11.8806
171,12.157
172,13.2595
173,15.3386
174,15.9807
175,18.1118
176,18.6733
177,19.4101
178,19.0965
179,19.9172
180,21.5663
181,22.6686
182,24.023
183,26.6928
184,26.2416
185,25.728
186,24.9283
187,23.0551
188,20.4308
189,19.845
190,18.5451
191,17.6494
192,16.5026
193,15.58
194,14.9715
195,13.3042
196,11.9864
197,11.5885
198,9.6029
199,6.2803
200,3.3887
201,0.696
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0.3394
215,4.024
216,8.9431
217,13.3615
218,18.3488
219,21.4244
220,23.3466
221,22.8916
222,22.5173
223,21.8887
224,19.7504
225,18.4508
226,17.352
227,16.9349
228,16.1712
229,14.8868
230,14.4512
231,13.7433
232,13.1362
233,12.7338
234,12.3418
235,11.9506
236,11.5864
237,13.5002
238,16.4321
239,19.3587
240,24.6402
241,31.8775
242,35.2844
243,37.3981
244,38.7207
245,39.709
246,39.2498
247,39.5439
