Time(s),Speed(km/h)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,1.2418
43,1.8438
44,5.093
45,8.1645
46,10.8058
47,12.5719
48,12.7098
49,11.7009
50,12.2479
51,13.2391
52,14.5017
53,14.3073
54,14.8248
55,16.7785
56,19.1119
57,22.0839
58,27.6106
59,32.4427
60,36.238
61,35.5364
62,32.2508
63,26.9553
64,19.2497
65,12.1931
66,7.1204
67,4.9830000000000005
68,5.5443
69,8.7131
70,13.071
71,16.4365
72,17.1752
73,15.6339
74,11.7136
75,8.0164
76,4.917
77,3.1046
78,1.7106
79,1.1888
80,0.3974
81,0.0
82,0.2997
83,0.3223
84,1.5876
85,1.3436
86,1.046
87,0.7651
88,0.4983
89,0.2483
90,0.0226
91,0.1192
92,2.0104
93,7.3395
94,14.1705
95,21.1968
96,27.0072
97,28.7554
98,28.2189
99,27.3474
100,24.0452
101,18.5293
102,13.2757
103,11.1806
104,10.5736
105,10.1379
106,9.7073
107,9.2809
108,9.3222
109,9.9772
110,10.2703
111,9.9111
112,9.6063
113,9.6684
114,10.0098
115,9.6241
116,10.4885
117,11.8439
118,16.1977
119,18.0161
120,17.6456
121,18.8948
122,19.9407
123,19.9562
124,19.4887
125,18.0405
126,15.503
127,15.0214
128,13.5599
129,10.8852
130,10.2513
131,7.6757
132,5.5448
133,3.7286
134,2.7379
135,1.5586
136,0.8354
137,0.5255
138,0.2562
139,0.0116
140,0.0
141,1.0158
142,3.4713
143,7.5279
144,13.1045
145,19.0918
146,23.0804
147,25.4181
148,25.2619
149,26.3014
150,26.4811
151,26.9211
152,28.2172
153,29.8892
154,31.1298
155,33.963
156,35.4514
157,38.1217
158,38.1163
159,39.0434
160,39.8776
161,40.232
162,39.9196
163,39.2883
164,38.5412
165,36.7535
166,35.942
167,35.324
168,34.0648
169,33.2798
170,31.4832
171,28.8967
172,25.887
173,23.9457
174,23.4243
175,22.9093
176,22.4113
177,23.2077
178,22.7574
179,22.2626
180,21.7736
181,20.0864
182,16.4475
183,12.6069
184,7.8323
185,5.5868
186,3.9597
187,2.6845
188,1.1175
189,0.7554
190,0.4826
191,0.2291
192,0.6063
193,3.0727
194,8.1768
195,16.2386
196,25.7618
197,32.3903
198,33.5411
199,33.8137
200,33.2592
201,32.632
202,29.3935
203,24.9086
204,20.6053
205,20.1867
206,27.149
207,34.1807
208,38.9633
209,42.5126
210,42.0786
211,41.4173
212,38.6138
213,32.3603
214,30.7184
215,30.4444
216,30.9941
217,30.2899
218,28.2567
