Time(s),Speed(km/h)
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1.3594
17,4.3499
18,7.8562
19,14.6266
20,23.0947
21,33.6918
22,41.5388
23,44.1544
24,50.65
25,55.4895
26,60.3028
27,63.3725
28,66.1492
29,67.7428
30,70.0683
31,71.4008
32,70.5094
33,69.4178
34,67.1242
35,64.8385
36,63.2746
37,61.9422
38,63.1714
39,63.2008
40,62.2846
41,61.3091
42,58.1631
43,53.7118
44,43.8286
45,34.1124
46,22.5689
47,11.5054
48,-0.1897
49,0.0363
50,-0.0606
51,0.022
52,0.0049
53,-0.0041
54,0
55,0
56,0
57,0.1035
58,6.3779
59,14.3169
60,26.0585
61,35.7314
62,43.6037
63,50.3036
64,55.6074
65,61.0453
66,65.9491
67,70.336
68,74.7534
69,78.3515
70,81.0315
71,83.7026
72,85.7353
73,87.6347
74,89.5673
75,90.8625
76,91.4662
77,91.2285
78,90.3096
79,89.2286
80,88.877
81,88.4605
82,88.3334
83,87.3556
84,86.0895
85,84.8349
86,84.4095
87,84.2065
88,84.1381
89,84.2789
90,84.524
91,85.1382
92,86.533
93,89.0492
94,92.3955
95,94.5777
96,97.5331
97,101.6344
98,105.3553
99,107.9866
100,110.6238
101,112.7507
102,114.1868
103,114.7263
104,114.7189
105,113.4082
106,111.4612
107,107.6291
108,104.4149
109,101.5882
110,99.8367
111,97.6037
112,95.1233
113,92.8974
114,90.5509
115,87.0216
116,84.3034
117,81.8902
118,80.0461
119,77.3247
120,73.9095
121,70.4517
122,66.8076
123,62.7985
124,60.3963
125,59.207
126,56.3618
127,50.591
128,42.5246
129,31.8032
130,22.5286
131,16.4605
132,9.9128
133,3.8128
134,1.5192
135,0.0962
136,-0.0186
137,-0.0013
138,-0.0028
139,-0.0027
140,-0.0013
141,0
142,0
143,0
144,4.8179
145,15.2526
146,26.6155
147,38.1843
148,49.5597
149,58.9905
150,66.1104
151,72.1812
152,76.1854
153,77.613
154,79.4643
155,81.1421
156,82.2157
157,83.3853
158,84.9025
159,85.9789
160,86.5242
161,86.8807
162,87.8976
163,88.3877
164,89.1353
165,91.6234
166,93.2703
167,94.4012
168,95.1621
