Time(s),Speed(km/h)
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1.2337
25,6.3848
26,6.6857
27,9.3541
28,14.6093
29,18.6896
30,22.49
31,26.108
32,28.5525
33,29.4563
34,29.6902
35,29.1372
36,30.5313
37,31.8226
38,33.1481
39,34.2015
40,36.5864
41,39.2806
42,41.5798
43,43.3433
44,44.581
45,43.9262
46,44.5596
47,45.0094
48,44.3268
49,43.0899
50,40.0233
51,37.4914
52,35.8008
53,32.5153
54,29.3356
55,26.3472
56,22.4574
57,21.1436
58,20.6367
59,20.1307
60,19.6303
61,19.1327
62,17.6078
63,16.9422
64,15.3779
65,13.1507
66,12.299
67,11.8616
68,11.6168
69,11.5938
70,12.6567
71,13.8198
72,14.1749
73,15.454
74,15.7503
75,16.4759
76,17.3242
77,17.6419
78,18.2226
79,19.5006
80,20.7142
81,24.1951
82,27.1987
83,30.6866
84,33.6915
85,35.8127
86,36.998
87,37.5231
88,38.2293
89,38.4212
90,38.294
91,39.0863
92,38.6826
93,37.9844
94,37.3566
95,36.7356
96,36.123
97,35.5156
98,34.9159
99,34.3197
100,33.7277
101,31.1333
102,26.3156
103,20.7518
104,15.1676
105,11.2966
106,9.6365
107,7.4569
108,4.2411
109,1.0549
110,0.0393
111,-0.0036
112,-0.0028
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0.0014
142,0.0028
143,0.0028
144,0.0028
145,0
146,0
147,0
148,0
149,0.0513
150,2.095
151,5.9909
152,10.532
153,14.766
154,18.7503
155,20.8564
156,21.7737
157,22.2407
158,24.0565
159,26.8259
160,28.5195
161,29.7588
162,29.9442
163,29.4001
164,27.6938
165,21.5781
166,16.2805
167,13.1174
168,14.004
169,15.2559
170,16.9321
171,19.4787
172,21.7635
173,25.1373
174,27.8308
175,29.4976
176,30.943
177,32.1762
178,33.236
179,34.3723
180,35.5993
181,36.7197
182,36.2305
183,35.9295
184,33.1387
