Time_s,Speed_km_h
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,3.2
16,5.4
17,8.5
18,11.5
19,14.1
20,16.2
21,18.7
22,19.9
23,19
24,20.6
25,20.7
26,24.1
27,25.8
28,27.4
29,28.9
30,30.1
31,31.3
32,31.2
33,31.2
34,32.3
35,33.3
36,33.4
37,33.6
38,33.4
39,33.3
40,33.1
41,33.3
42,33.5
43,33
44,32.8
45,32.6
46,32.7
47,32.3
48,31.9
49,31.3
50,30.8
51,30.6
52,29.9
53,29.1
54,27
55,25
56,22.8
57,22.1
58,21.3
59,20.3
60,21.2
61,22.2
62,21.6
63,22.1
64,23.2
65,23.8
66,23.2
67,22.1
68,21.2
69,20
70,18.3
71,15
72,10
73,5.7
74,2.1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,1.4
103,2.9
104,4.2
105,5.3
106,6.4
107,7.6
108,8.7
109,9.7
110,10.9
111,11.8
112,12.3
113,13.1
114,14.7
115,16.9
116,18.9
117,20.2
118,20.7
119,20.8
120,20.6
121,19.9
122,19.3
123,19.1
124,19.3
125,19.9
126,20.9
127,22
128,23.2
129,24.3
130,25.5
131,26.4
132,26.9
133,27
134,26.8
135,26.6
136,26.5
137,26.6
138,27
139,27.5
140,27.8
141,27.6
142,26.6
143,25.2
144,23.6
145,22.1
146,20.6
147,19.3
148,18.7
149,18.7
150,19.1
151,19.5
152,19.5
153,18.9
154,17.7
155,16.5
156,15.7
157,15.5
158,15.5
159,15.6
160,16
161,17
162,17.9
163,18.3
164,18
165,17.1
166,15.4
167,13.5
168,12
169,11.1
170,10.6
171,10.5
172,10.8
173,11.2
174,11.4
175,11.5
176,11.9
177,12.4
178,13
179,13.5
180,13.7
181,13.8
182,13.7
183,13.3
184,12.4
185,11.4
186,10.6
187,10.4
188,10.5
189,10.9
190,11.6
191,12.4
192,12.9
193,13.2
194,13.4
195,13.5
196,13.6
197,13.6
198,13.5
199,13.5
200,13.5
201,14
202,15.2
203,16.5
204,17.3
