Time(s),Speed(km/h)
1,0.0
2,0.0
3,0.0017
4,0.0011
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0027
14,0.0001
15,0.0
16,0.0
17,0.0
18,0.0028
19,0.0
20,0.0
21,2.0972
22,7.4601
23,12.1209
24,15.0921
25,17.7536
26,20.3484
27,20.7646
28,20.3119
29,19.8626
30,19.4197
31,18.978
32,18.5423
33,18.1082
34,17.6844
35,19.895
36,23.2934
37,26.5684
38,27.0597
39,26.5614
40,26.0662
41,25.5771
42,25.0908
43,23.9542
44,20.9086
45,16.2218
46,13.2548
47,9.6296
48,6.6347
49,5.5624
50,3.8621
51,1.5081
52,0.0362
53,0.0
54,0.0069
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,1.0252
64,4.3712
65,8.5052
66,14.8772
67,21.2043
68,26.3131
69,30.6251
70,33.9558
71,34.3487
72,33.7288
73,30.8547
74,25.7119
75,18.0442
76,13.0504
77,15.3524
78,20.3807
79,25.2297
80,29.5638
81,33.7291
82,36.2461
83,38.1684
84,39.2757
85,40.4302
86,41.4085
87,41.1952
88,41.5743
89,42.7533
90,43.8057
91,44.0217
92,43.3431
93,42.1689
94,38.6352
95,32.8469
96,24.3974
97,13.4834
98,4.353
99,1.2716
100,0.9659
101,0.6725
102,0.3873
103,0.1111
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0911
109,0.6061
110,1.8863
111,4.8932
112,10.817
113,15.825
114,21.7453
115,27.5903
116,33.8474
117,39.8104
118,45.5311
119,49.3729
120,51.3385
121,52.1823
122,53.0719
123,52.3548
124,50.7823
125,45.7834
126,40.9366
127,36.2494
128,29.3803
129,23.1565
130,16.1783
131,9.5964
132,5.5452
133,3.635
134,0.0
135,0.0667
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0312
143,2.6622
144,7.9836
145,16.2305
146,24.7453
147,32.3772
148,38.129
149,43.1224
150,46.8269
151,50.773
152,54.1302
153,54.9377
154,56.4931
155,57.9043
156,59.0884
157,59.8855
158,60.5693
159,60.9997
160,60.2582
161,59.3945
162,58.9939
163,58.7947
164,58.6027
165,57.9115
166,56.305
167,54.4658
168,51.7938
169,47.5692
170,42.9069
171,41.0078
172,42.2088
173,45.6201
174,48.4267
175,51.142
176,54.0995
177,56.1015
178,58.0368
179,57.4197
180,57.5057
181,58.0384
182,58.5741
183,59.1012
184,59.6222
185,60.1351
186,60.6417
187,61.0888
188,61.5261
189,62.0085
190,62.6625
191,63.76
192,64.9263
193,66.0587
194,67.116
195,66.3219
196,65.1322
197,59.8851
198,49.2862
199,33.7913
200,18.5251
201,4.5826
202,0.1862
203,1.4284
204,4.1042
205,6.3842
206,5.9722
207,2.7624
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0028
217,0.0028
218,0.0028
219,0.0028
